Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE
2012-12-31,76.0145263671875,27.04469108581543,,13.4399995803833,56.64917755126953,9.934611320495604,37.68000030517578,2.400000095367432,70.97284698486328,8.384384155273438,19.854928970336914,27.04851722717285,63.247291564941406,40.90999984741211,18.9916934967041,54.75389099121094,54.36161804199219,93.73999786376952,27.75,
2013-01-02,77.59458923339844,27.58090591430664,25.678119659423828,13.6899995803833,58.82995986938477,10.24331283569336,38.34000015258789,2.5299999713897705,71.11015319824219,8.61945915222168,20.210012435913086,27.66955947875977,64.63236999511719,42.15999984741211,19.366329193115234,56.67541122436523,55.38894653320313,100.0500030517578,28.399999618530273,
2013-01-03,77.50453186035156,28.63079071044922,25.46608543395996,13.449999809265135,58.61700057983398,10.29944133758545,37.75,2.490000009536743,71.11015319824219,8.572443962097168,19.69793510437012,27.768665313720703,64.40653991699219,40.95000076293945,19.727739334106445,56.30520248413086,55.66341781616211,98.4800033569336,29.170000076293945,
2013-01-04,78.07762908935547,28.45867156982422,25.14437866210937,13.40999984741211,58.94070053100586,10.449115753173828,38.13000106811523,2.5899999141693115,72.21865844726562,8.776177406311035,19.451244354248047,28.317033767700195,65.27223205566406,40.43000030517578,20.00099372863769,56.966270446777344,56.18099975585938,97.62000274658205,29.309999465942386,
2013-01-07,78.17584228515625,28.691022872924805,25.195558547973636,13.25,58.68514633178711,10.45846939086914,37.93999862670898,2.6700000762939453,71.97343444824219,8.501926422119139,19.37649345397949,28.11222267150879,65.21201324462889,40.77000045776367,20.42852210998535,57.24832153320313,56.43193435668945,97.30999755859376,28.940000534057614,
2013-01-08,78.1840591430664,28.699626922607425,24.64719581604004,13.210000038146973,59.02588272094727,10.280732154846193,38.13999938964844,2.6700000762939453,70.7962646484375,8.501926422119139,19.600757598876953,27.887584686279297,65.33246612548828,40.13999938964844,20.274263381958008,56.20824432373047,56.22804641723633,97.48999786376952,28.25,
2013-01-09,78.92904663085938,28.88895034790039,24.786117553710934,12.84000015258789,59.44330596923828,10.233959197998047,38.65999984741211,2.630000114440918,71.01206970214844,8.54110050201416,19.623188018798828,28.64077377319336,66.21318054199219,39.70000076293945,20.4108943939209,56.5167350769043,56.53390121459961,100.30999755859376,27.29999923706055,
2013-01-10,79.3219985961914,29.12991142272949,24.859235763549805,12.800000190734865,58.92367172241211,10.224605560302734,38.61999893188477,2.619999885559082,70.39409637451172,8.689983367919924,19.948368072509766,28.852190017700195,66.15296936035156,39.5,20.26104164123535,56.560791015625,56.40057754516602,102.56999969482422,26.88999938964844,
2013-01-11,78.8226089477539,28.83610725402832,25.044193267822266,12.25,59.52849197387695,10.77652645111084,38.09000015258789,2.6700000762939453,70.91397094726562,8.705656051635742,19.783912658691406,28.693626403808594,66.52182769775389,39.59000015258789,20.64448547363281,56.38452911376953,56.682899475097656,100.38999938964844,25.8700008392334,
2013-01-14,79.47755432128906,28.82745933532715,25.22176170349121,12.31999969482422,59.511451721191406,10.757817268371582,38.15999984741211,2.640000104904175,71.1984634399414,8.642967224121094,19.7913875579834,28.766298294067386,66.23576354980469,39.9900016784668,20.463781356811523,56.966270446777344,56.76914596557617,99.3499984741211,26.63999938964844,
2013-01-15,79.64947509765625,28.53366279602051,25.59909439086914,12.170000076293945,59.84368133544922,10.8233003616333,38.150001525878906,2.6800000667572017,72.23826599121094,8.61945915222168,19.821285247802734,28.56809425354004,66.01744842529297,39.65999984741211,20.582782745361328,57.38052749633789,57.01226425170898,98.22000122070312,26.34000015258789,
2013-01-16,79.90327453613281,28.25713539123535,26.29455757141113,12.449999809265135,59.5369987487793,10.682979583740234,37.88000106811523,2.720000028610229,71.96359252929688,8.580281257629395,19.290529251098636,28.442562103271484,65.70881652832031,39.36999893188477,20.70619201660156,56.94863510131836,56.74562072753906,97.38999938964844,26.0,
2013-01-17,80.29625701904297,28.326269149780273,26.94562149047852,12.850000381469727,59.5369987487793,10.682979583740234,37.72999954223633,2.740000009536743,72.0224380493164,8.674312591552733,19.226978302001953,28.984323501586914,66.5594482421875,39.75,20.732635498046875,57.52156066894531,56.77698135375977,97.41000366210938,26.479999542236328,
2013-01-18,80.8365478515625,28.29170227050781,27.611501693725586,12.470000267028807,59.72441101074219,10.626852989196776,37.97999954223633,2.4600000381469727,72.34619903564453,8.72916316986084,19.23820304870605,29.16931533813477,66.76270294189453,39.959999084472656,20.556337356567386,56.79880142211914,56.97304153442383,97.41999816894531,26.63999938964844,
2013-01-22,81.31959533691406,28.429969787597656,26.94562149047852,12.529999732971193,60.02257919311523,10.66427230834961,37.95000076293945,2.450000047683716,72.6698989868164,8.862373352050781,19.675518035888672,29.493059158325195,67.29715728759766,39.93000030517578,20.794340133666992,56.70184707641602,57.31026840209961,97.4000015258789,27.420000076293945,
2013-01-23,81.45059204101562,28.35218620300293,27.96662712097168,12.65999984741211,60.69555282592773,10.58008098602295,38.25,2.7300000190734863,73.32715606689453,8.784012794494629,19.85866355895996,29.268421173095703,66.57449340820311,40.060001373291016,20.560749053955078,57.00151824951172,57.059326171875,92.95999908447266,27.09000015258789,
2013-01-24,81.59793090820312,28.343547821044922,27.71508407592773,13.0600004196167,60.77221298217773,10.617498397827148,38.11000061035156,2.789999961853028,73.58220672607422,8.689983367919924,20.0380802154541,29.50626564025879,66.41641235351561,40.560001373291016,20.446155548095703,54.74509048461914,57.23184585571289,94.55999755859376,27.81999969482422,
